"var","rel.inf"
"NO3_N",15.7947773751931
"TEMP",8.82505753717665
"TDP_P",7.5873118932667
"max_depth_m",7.02413249036364
"ppt_week",6.90984723381875
"NtoP",6.58298332922467
"lake_perc_area",6.14846197332651
"tmean_day",4.85166377974335
"ppt_percent_normal",4.44645965314582
"Ordinal_date",4.35751752431349
"snow2011",3.97428219159099
"TDN",3.19281802920772
"tmean_month",2.96320357560579
"BIOTITE_GNEISS_PCT",2.81834848426482
"DOC",2.18866538852941
"Difference_SnowFree",2.12312721730974
"snow1992to2011",1.79848206406033
"tmean_percent_normal",1.67557596332791
"elevation_m",1.65192044633908
"rglac_km2",1.39285772537273
"eastMEAN",1.37729355838403
"shrub2011",1.27238712477286
"lake_surface_area_m2",0.716416469151043
"water1992to2011",0.326408972510834
