"bf","lr","best.iter","cv.r.squared"
0.5,0.1,107,0.216388603211301
0.5,0.1,51,0.256392044507235
0.5,0.1,305,0.220206262616035
0.5,0.1,294,0.271118846005403
0.5,0.1,18,0.202623044597473
0.5,0.1,114,0.220841273205714
0.5,0.1,122,0.235137188848803
0.5,0.1,84,0.149266843281798
0.5,0.1,380,0.222097783529148
0.5,0.1,120,0.213713739083724
0.6,0.1,47,0.236188094113941
0.6,0.1,73,0.282429948739326
0.6,0.1,77,0.180334876318933
0.6,0.1,104,0.261354399789106
0.6,0.1,22,0.172355360270018
0.6,0.1,78,0.210926842893179
0.6,0.1,205,0.277425439052599
0.6,0.1,154,0.181777857789581
0.6,0.1,88,0.204155335638209
0.6,0.1,114,0.237190069646965
0.7,0.1,114,0.229055960316722
0.7,0.1,35,0.213437211979462
0.7,0.1,114,0.195483997945928
0.7,0.1,136,0.213417222160859
0.7,0.1,109,0.180914834135901
0.7,0.1,181,0.228567307616555
0.7,0.1,207,0.180432311062204
0.7,0.1,32,0.249889322909293
0.7,0.1,128,0.218857010034944
0.7,0.1,150,0.202331690387756
0.5,0.05,293,0.228435348461294
0.5,0.05,169,0.249951363948816
0.5,0.05,182,0.204412241112591
0.5,0.05,312,0.203271399268451
0.5,0.05,189,0.256201960984408
0.5,0.05,122,0.205015548319574
0.5,0.05,222,0.193372951042155
0.5,0.05,297,0.239157712823872
0.5,0.05,427,0.221198366061731
0.5,0.05,491,0.206302435733962
0.6,0.05,234,0.24279949575313
0.6,0.05,186,0.230472222411042
0.6,0.05,189,0.211844885463126
0.6,0.05,133,0.229976626150614
0.6,0.05,79,0.320564818473372
0.6,0.05,252,0.222737792417387
0.6,0.05,117,0.253626020835643
0.6,0.05,184,0.183759731725019
0.6,0.05,175,0.22672226723711
0.6,0.05,224,0.273307514933034
0.7,0.05,127,0.25629260800038
0.7,0.05,281,0.227199047106574
0.7,0.05,238,0.221370393572935
0.7,0.05,83,0.19763641845978
0.7,0.05,145,0.223598032263045
0.7,0.05,105,0.221486898529632
0.7,0.05,176,0.193812502987534
0.7,0.05,222,0.245210948643817
0.7,0.05,279,0.227964001413315
0.7,0.05,221,0.195769784071203
0.5,0.01,758,0.218327867135405
0.5,0.01,1437,0.263191464388886
0.5,0.01,880,0.205534733014752
0.5,0.01,1090,0.213274273830173
0.5,0.01,1032,0.228774206973273
0.5,0.01,2279,0.239731288156823
0.5,0.01,847,0.235462498103302
0.5,0.01,1347,0.260524643677665
0.5,0.01,759,0.167091019026503
0.5,0.01,2581,0.261987326159802
0.6,0.01,687,0.196486341426672
0.6,0.01,585,0.257315296145094
0.6,0.01,1020,0.213425589341911
0.6,0.01,897,0.22956703423586
0.6,0.01,976,0.243002032571727
0.6,0.01,775,0.248271066874149
0.6,0.01,1005,0.244190996560875
0.6,0.01,727,0.248450997747743
0.6,0.01,1165,0.267313696590909
0.6,0.01,708,0.228433483362298
0.7,0.01,934,0.221992956621059
0.7,0.01,1237,0.20877041201886
0.7,0.01,594,0.191556045938252
0.7,0.01,1375,0.194180106201558
0.7,0.01,1394,0.191469240010506
0.7,0.01,794,0.214430375822832
0.7,0.01,587,0.258044566035062
0.7,0.01,504,0.202714327897553
0.7,0.01,850,0.246367845334661
0.7,0.01,576,0.229699596524273
0.5,0.005,2350,0.216994897169551
0.5,0.005,2698,0.250388357790993
0.5,0.005,1786,0.186826377359717
0.5,0.005,2616,0.253745716385939
0.5,0.005,2317,0.234277357494874
0.5,0.005,1874,0.229137661264302
0.5,0.005,2891,0.272752159011792
0.5,0.005,2593,0.24326920085614
0.5,0.005,1846,0.231433543567412
0.5,0.005,2456,0.233743158812827
0.6,0.005,9380,0.263367041610341
0.6,0.005,2185,0.235019055191679
0.6,0.005,2695,0.222859874135873
0.6,0.005,1079,0.184742826910964
0.6,0.005,2207,0.253042546629157
0.6,0.005,2422,0.256621443725159
0.6,0.005,1168,0.216933750644339
0.6,0.005,1342,0.214954858623706
0.6,0.005,2203,0.188806867635378
0.6,0.005,1534,0.230360377804251
0.7,0.005,2173,0.208526332256261
0.7,0.005,4962,0.201846194794631
0.7,0.005,1656,0.176369256981444
0.7,0.005,2198,0.220712757358901
0.7,0.005,1910,0.200639230069874
0.7,0.005,1338,0.25314737060383
0.7,0.005,2425,0.19467289734726
0.7,0.005,5722,0.267750236055759
0.7,0.005,1750,0.203242850649994
0.7,0.005,1858,0.223771901442084
0.5,0.001,21769,0.24476260331133
0.5,0.001,13583,0.256406108610395
0.5,0.001,11847,0.21312630063376
0.5,0.001,10423,0.237202134099025
0.5,0.001,10644,0.219946151681624
0.5,0.001,8879,0.1854224523964
0.5,0.001,16058,0.207770157495742
0.5,0.001,14503,0.28053858046803
0.5,0.001,7908,0.204563248865936
0.5,0.001,16271,0.293060959100227
0.6,0.001,6146,0.199650340340222
0.6,0.001,24251,0.264278183386637
0.6,0.001,7453,0.218455700281781
0.6,0.001,8841,0.245345842408159
0.6,0.001,12208,0.238018985056206
0.6,0.001,11798,0.236213736673035
0.6,0.001,4194,0.173958192702644
0.6,0.001,12794,0.219954458555448
0.6,0.001,6643,0.213015741984149
0.6,0.001,13791,0.203219000592281
0.7,0.001,15018,0.240743878023482
0.7,0.001,9831,0.218209875194411
0.7,0.001,8240,0.207954686420375
0.7,0.001,8840,0.218273942122404
0.7,0.001,12342,0.193129232954947
0.7,0.001,6598,0.221914697146799
0.7,0.001,5593,0.17352268555667
0.7,0.001,8508,0.210628215948409
0.7,0.001,15323,0.223779837404859
0.7,0.001,9778,0.205871317591255
0.5,5e-04,28071,0.243269194037089
0.5,5e-04,28683,0.211862614862256
0.5,5e-04,15702,0.156426283235574
0.5,5e-04,18482,0.220860565570808
0.5,5e-04,19168,0.221979368813858
0.5,5e-04,19808,0.237948994865318
0.5,5e-04,17187,0.199299989372212
0.5,5e-04,17128,0.227584206462216
0.5,5e-04,24494,0.238702081518617
0.5,5e-04,36546,0.293428988885694
0.6,5e-04,25468,0.242751177380951
0.6,5e-04,21745,0.231610264779305
0.6,5e-04,36808,0.193992111207007
0.6,5e-04,13724,0.204005124569885
0.6,5e-04,13718,0.191635627850763
0.6,5e-04,17739,0.196849448655412
0.6,5e-04,28305,0.228948136894564
0.6,5e-04,19101,0.175592383349023
0.6,5e-04,17493,0.214785618912841
0.6,5e-04,20312,0.242042755813507
0.7,5e-04,22866,0.178777567547817
0.7,5e-04,17022,0.227073885015173
0.7,5e-04,28601,0.23010110817424
0.7,5e-04,19718,0.198937899817959
0.7,5e-04,11082,0.196058459167515
0.7,5e-04,16246,0.203969156961399
0.7,5e-04,23029,0.237784434310377
0.7,5e-04,19814,0.243317692403665
0.7,5e-04,26710,0.236611725212064
0.7,5e-04,11568,0.204209614953008
