"var","rel.inf"
"TDP_P",13.075006042137
"TEMP",9.34759058347214
"max_depth_m",8.96259893076767
"NtoP",8.3683319362917
"NO3_N",8.07161756580531
"lake_perc_area",7.85057274793181
"ppt_week",6.29172731663506
"tmean_day",3.2088582579754
"tmean_month",3.20513596860985
"TDN",3.18521466815052
"Ordinal_date",3.14361587792876
"ppt_percent_normal",3.10033834772301
"snow2011",2.99976306493293
"shrub2011",2.44518634692488
"DOC",2.04740592322928
"eastMEAN",1.75067855916722
"BIOTITE_GNEISS_PCT",1.40945718620175
"snow1992to2011",1.38069550396619
"elevation_m",1.36518934406584
"Difference_SnowFree",1.35312815625447
"water1992to2011",1.29476688077364
"lake_surface_area_m2",1.19232061237795
"rglac_km2",1.18661441738941
"tmean_percent_normal",1.01223882009214
"Max_SWE",0.81931384551559
"ppt_day",0.804192320034992
"radSUM",0.728208657360558
"LON_DD",0.400232118284957
"FISH",0
