"bf","lr","best.iter","cv.r.squared"
0.5,0.1,398,0.402871687581492
0.5,0.1,340,0.411197225410175
0.5,0.1,275,0.399442528323449
0.5,0.1,128,0.467471641732372
0.5,0.1,342,0.359598495376776
0.5,0.1,566,0.394808519440043
0.5,0.1,282,0.384649529374995
0.5,0.1,182,0.460991070434732
0.5,0.1,350,0.439172841465579
0.5,0.1,163,0.31255658306752
0.6,0.1,422,0.43270690599338
0.6,0.1,298,0.447449531803361
0.6,0.1,459,0.413462490288774
0.6,0.1,374,0.468057233051493
0.6,0.1,290,0.366128978968134
0.6,0.1,512,0.333382922769606
0.6,0.1,323,0.423243177826368
0.6,0.1,317,0.462053292930162
0.6,0.1,408,0.419937579508645
0.6,0.1,245,0.380096269903596
0.7,0.1,284,0.448335172067751
0.7,0.1,386,0.468182504773149
0.7,0.1,234,0.345440047857658
0.7,0.1,332,0.401659686956163
0.7,0.1,359,0.36974039347709
0.7,0.1,287,0.365951986917289
0.7,0.1,559,0.356806983106581
0.7,0.1,271,0.38726685311582
0.7,0.1,346,0.421211202707459
0.7,0.1,313,0.42092694071803
0.5,0.05,638,0.370679066808676
0.5,0.05,540,0.329499242641961
0.5,0.05,506,0.330778841782157
0.5,0.05,930,0.273583160636789
0.5,0.05,739,0.395056699596844
0.5,0.05,638,0.316845395133299
0.5,0.05,1040,0.363755933386102
0.5,0.05,550,0.308198671454621
0.5,0.05,435,0.407925757201799
0.5,0.05,354,0.246987964675932
0.6,0.05,755,0.316041069756735
0.6,0.05,629,0.393730673068756
0.6,0.05,667,0.37687283593982
0.6,0.05,430,0.367719815084502
0.6,0.05,520,0.319565558604601
0.6,0.05,493,0.366376729556376
0.6,0.05,564,0.344595294438297
0.6,0.05,693,0.404957948366802
0.6,0.05,595,0.35571370579611
0.6,0.05,473,0.285225235301
0.7,0.05,561,0.349721967705171
0.7,0.05,587,0.365782247365769
0.7,0.05,474,0.335193335257839
0.7,0.05,650,0.368599931130737
0.7,0.05,445,0.28779165268202
0.7,0.05,406,0.319500158158888
0.7,0.05,898,0.359590991515305
0.7,0.05,813,0.337123025691313
0.7,0.05,500,0.305866795078293
0.7,0.05,510,0.407053105926146
0.5,0.01,2587,0.346275538179
0.5,0.01,4149,0.322661745649963
0.5,0.01,3001,0.346521122895737
0.5,0.01,3616,0.361398345068155
0.5,0.01,4559,0.370264166923409
0.5,0.01,2714,0.365266231409073
0.5,0.01,2876,0.329702788388479
0.5,0.01,3046,0.357453750141168
