"bf","lr","best.iter","cv.r.squared"
0.5,0.1,222,0.401608664975501
0.5,0.1,321,0.398625333251037
0.5,0.1,334,0.369988418462518
0.5,0.1,170,0.445393849818407
0.5,0.1,291,0.258331203555042
0.5,0.1,233,0.398785271817851
0.5,0.1,375,0.401815953391713
0.5,0.1,338,0.428554356687585
0.5,0.1,184,0.519466044026131
0.5,0.1,427,0.432794928547757
0.6,0.1,225,0.425441926970287
0.6,0.1,265,0.435556089834706
0.6,0.1,326,0.371689021726799
0.6,0.1,245,0.372035469530027
0.6,0.1,283,0.37815988949019
0.6,0.1,214,0.352106297367496
0.6,0.1,329,0.418877908152899
0.6,0.1,253,0.397735510833221
0.6,0.1,854,0.374049752295237
0.6,0.1,425,0.341682701953237
0.7,0.1,597,0.418886637038555
0.7,0.1,366,0.41579068269775
0.7,0.1,325,0.414761572224964
0.7,0.1,207,0.376272456118464
0.7,0.1,261,0.404200876241775
0.7,0.1,277,0.389699395990751
0.7,0.1,332,0.370334633011757
0.7,0.1,380,0.392665466725292
0.7,0.1,301,0.38544528813154
0.7,0.1,313,0.415825755857298
0.5,0.05,1282,0.351490336835255
0.5,0.05,405,0.275154376908408
0.5,0.05,410,0.355385740756357
0.5,0.05,584,0.349729642855712
0.5,0.05,781,0.373031647769113
0.5,0.05,636,0.328147098508788
0.5,0.05,449,0.336040297339059
0.5,0.05,434,0.343724985955572
0.5,0.05,470,0.367950130419618
0.5,0.05,757,0.357922735820873
0.6,0.05,763,0.300781748244546
0.6,0.05,505,0.356033823087933
0.6,0.05,462,0.396138677663705
0.6,0.05,476,0.390661072509321
0.6,0.05,619,0.396168931465772
0.6,0.05,696,0.385112821515977
0.6,0.05,517,0.371559904314765
0.6,0.05,665,0.386977349807465
0.6,0.05,854,0.347831983145202
0.6,0.05,508,0.363334644562324
0.7,0.05,863,0.366956211982932
0.7,0.05,825,0.303926317050928
0.7,0.05,817,0.295231772077068
0.7,0.05,569,0.373164596944564
0.7,0.05,529,0.341973109768628
0.7,0.05,657,0.296773720969317
0.7,0.05,610,0.379061636441576
0.7,0.05,357,0.32079788423606
0.7,0.05,465,0.333440077591723
0.7,0.05,559,0.35269902781923
0.5,0.01,3557,0.385215659058536
0.5,0.01,3925,0.350948658817873
0.5,0.01,2304,0.317571788632578
0.5,0.01,2826,0.35115691351094
0.5,0.01,2512,0.306681519430161
0.5,0.01,4867,0.380620286530753
0.5,0.01,1729,0.291487537252233
0.5,0.01,3500,0.359275530500044
0.5,0.01,2867,0.332600947477094
0.5,0.01,3147,0.350284711910811
0.6,0.01,2350,0.37674637406094
0.6,0.01,3078,0.346326030265235
0.6,0.01,4524,0.365955563858663
0.6,0.01,2484,0.306599173937696
0.6,0.01,5558,0.304174554751055
0.6,0.01,2537,0.375584873979402
0.6,0.01,2993,0.309414654126299
0.6,0.01,2306,0.323527689216287
0.6,0.01,2578,0.30559421906866
0.6,0.01,2780,0.416412455607544
0.7,0.01,3127,0.332933552071921
0.7,0.01,3235,0.358946474370398
0.7,0.01,3063,0.364098842603467
0.7,0.01,2752,0.320866991223824
0.7,0.01,2497,0.343317989599878
