"var","rel.inf"
"ppt_week",12.0869997742491
"Ordinal_date",8.03009820255545
"tmean_month",7.23385820953618
"tmean_day",7.16756919975813
"ppt_percent_normal",6.93885035129722
"lake_perc_area",6.80843958488593
"max_depth_m",5.52749962011715
"elevation_m",4.0856813212421
"snow2011",3.95978982959019
"ppt_day",3.95850769618083
"tmean_percent_normal",3.85840341045527
"radSUM",3.79913442670668
"shrub2011",3.54278802998608
"snow1992to2011",3.34691268646967
"water1992to2011",3.21353172015669
"BIOTITE_GNEISS_PCT",3.03878360946952
"site_type_num",2.96159054787518
"eastMEAN",2.75498769717476
"Difference_SnowFree",2.57622164015197
"LON_DD",2.06863224419464
"lake_surface_area_m2",1.64239115910979
"rglac_km2",1.39932903883747
