"var","rel.inf"
"ppt_week",12.3019448429987
"lake_perc_area",9.54281147080569
"Ordinal_date",7.47511518205037
"tmean_day",6.74695759019852
"tmean_month",6.22332304202571
"ppt_percent_normal",5.40493257651415
"max_depth_m",5.13245727899976
"snow2011",4.7263354190993
"snow1992to2011",4.58813736682663
"shrub2011",4.06155099398774
"BIOTITE_GNEISS_PCT",3.95684169028762
"tmean_percent_normal",3.90531999241497
"ppt_day",3.62834638054769
"site_type_num",3.58229232516849
"lake_surface_area_m2",3.17096794344361
"radSUM",3.08895581132826
"elevation_m",3.07964724003783
"eastMEAN",2.48674446797913
"water1992to2011",1.77954984159176
"Difference_SnowFree",1.6345723361718
"rglac_km2",1.40601446975287
"LON_DD",1.28238444851416
"Max_SWE",0.794797289255222
