"bf","lr","best.iter","cv.r.squared"
0.5,0.1,501,0.422441067756438
0.5,0.1,385,0.377059793420287
0.5,0.1,472,0.40880815627788
0.5,0.1,422,0.354684090126565
0.5,0.1,404,0.396787899001763
0.5,0.1,454,0.393160867997849
0.5,0.1,430,0.370031662634741
0.5,0.1,438,0.335560119476959
0.5,0.1,383,0.403501385839858
0.5,0.1,264,0.341612597394549
0.6,0.1,367,0.293333617030885
0.6,0.1,596,0.338106294168304
0.6,0.1,383,0.383264972904898
0.6,0.1,308,0.339766952993826
0.6,0.1,482,0.417872645779863
0.6,0.1,595,0.405654824955745
0.6,0.1,512,0.379211881902034
0.6,0.1,244,0.349960890309345
0.6,0.1,404,0.414493350461562
0.6,0.1,434,0.367293618094678
0.7,0.1,435,0.379499764085942
0.7,0.1,390,0.322862591321519
0.7,0.1,721,0.368584649963086
0.7,0.1,277,0.336273325067563
0.7,0.1,188,0.298838042364954
0.7,0.1,524,0.327534003528696
0.7,0.1,279,0.342509800461252
0.7,0.1,360,0.353208651004865
0.7,0.1,354,0.359354731354598
0.7,0.1,388,0.394060748622971
0.5,0.05,872,0.389225461770908
0.5,0.05,679,0.310858066271093
0.5,0.05,620,0.39536564700821
0.5,0.05,1190,0.392204696722928
0.5,0.05,934,0.348145542859497
0.5,0.05,1155,0.389137172158209
0.5,0.05,541,0.306153860036994
0.5,0.05,1244,0.415016634273595
0.5,0.05,837,0.365240735187183
0.5,0.05,874,0.399228152983368
0.6,0.05,879,0.393986999304252
0.6,0.05,948,0.297988306338319
0.6,0.05,822,0.39801101653742
0.6,0.05,731,0.325864327650156
0.6,0.05,947,0.367649012129149
0.6,0.05,1009,0.413035959798233
0.6,0.05,833,0.291023953268017
0.6,0.05,895,0.400804205668345
0.6,0.05,726,0.338534543722975
0.6,0.05,843,0.318792099375787
0.7,0.05,1363,0.25420555551835
0.7,0.05,848,0.403838632049497
0.7,0.05,942,0.364411239957485
0.7,0.05,1654,0.418358242466682
0.7,0.05,769,0.417592353194574
0.7,0.05,744,0.32277629624024
0.7,0.05,1009,0.349829579581765
0.7,0.05,839,0.321202054857801
0.7,0.05,587,0.326393849203687
0.7,0.05,1699,0.396339289722994
0.5,0.01,6594,0.404910214191918
0.5,0.01,3768,0.337557857638962
0.5,0.01,4926,0.426033613276918
0.5,0.01,5096,0.386723449498846
0.5,0.01,4119,0.286119693352813
0.5,0.01,4301,0.352510628622926
0.5,0.01,5005,0.413699459016948
0.5,0.01,3581,0.358087162595776
0.5,0.01,4205,0.350173964790391
0.5,0.01,4384,0.461625069368795
0.6,0.01,3606,0.374943963796361
0.6,0.01,4149,0.35095262271139
0.6,0.01,4466,0.378252158673778
0.6,0.01,2923,0.250749117132942
0.6,0.01,4200,0.313428837948261
0.6,0.01,3325,0.208422489503934
0.6,0.01,3885,0.365703616442656
0.6,0.01,4142,0.304988386574417
0.6,0.01,4052,0.341300316381553
0.6,0.01,2722,0.307489773189903
0.7,0.01,3453,0.378760129058274
0.7,0.01,3041,0.335683798618481
0.7,0.01,5601,0.443583527759699
0.7,0.01,3733,0.26780504331151
0.7,0.01,3667,0.415895365085098
0.7,0.01,5665,0.378155593375124
0.7,0.01,5278,0.36160885913348
0.7,0.01,4098,0.382264991858154
0.7,0.01,4367,0.352308195229835
0.7,0.01,3860,0.28692222140662
0.5,0.005,8134,0.383366201173657
0.5,0.005,7382,0.382892297710943
0.5,0.005,8834,0.370908464748752
0.5,0.005,8518,0.304379303196777
0.5,0.005,7193,0.300137271627021
0.5,0.005,7773,0.356596357873224
0.5,0.005,11557,0.382351804338247
0.5,0.005,7486,0.360522638628357
0.5,0.005,6643,0.295043808182979
0.5,0.005,8749,0.407322964219087
0.6,0.005,6255,0.346111315699141
0.6,0.005,8164,0.329836957659909
0.6,0.005,15320,0.416503777565854
0.6,0.005,10204,0.35214881228366
0.6,0.005,5926,0.402219255731132
0.6,0.005,8100,0.372448620948671
0.6,0.005,8619,0.335965482204209
0.6,0.005,8361,0.423910899429546
0.6,0.005,8531,0.391992757518154
0.6,0.005,8738,0.339107816404481
0.7,0.005,8138,0.348414145744021
0.7,0.005,8556,0.330076435693223
0.7,0.005,8181,0.373097618350292
0.7,0.005,7150,0.3167468227769
0.7,0.005,8989,0.405803252380025
0.7,0.005,8932,0.265744715933826
0.7,0.005,8206,0.32978990892119
0.7,0.005,10851,0.37090571818747
0.7,0.005,6296,0.331046624539501
0.7,0.005,6186,0.3175430566375
0.5,0.001,39436,0.378852988841504
0.5,0.001,38141,0.347544029247506
0.5,0.001,39655,0.421028011557318
0.5,0.001,32936,0.340698255375768
0.5,0.001,37469,0.338876510059325
0.5,0.001,39522,0.401949317833264
0.5,0.001,38918,0.395838501087315
0.5,0.001,39788,0.28579381959574
0.5,0.001,39848,0.329903320543366
0.5,0.001,39122,0.378261010465715
0.6,0.001,31905,0.32140782777248
0.6,0.001,32068,0.331979541901335
0.6,0.001,39426,0.361417366182719
0.6,0.001,39990,0.409796157412066
0.6,0.001,37926,0.380678017517636
0.6,0.001,35080,0.380356627424737
0.6,0.001,25149,0.348041739428449
0.6,0.001,39469,0.407004069060195
0.6,0.001,39966,0.364733024666631
0.6,0.001,36182,0.357521422339509
0.7,0.001,30816,0.274234942191569
0.7,0.001,39999,0.251869576471199
0.7,0.001,39615,0.362337714719212
0.7,0.001,39990,0.34326040892273
0.7,0.001,39984,0.425186439058284
0.7,0.001,36029,0.32878136886139
0.7,0.001,31193,0.306781972646697
0.7,0.001,38989,0.377594122777067
0.7,0.001,27274,0.267069415063262
0.7,0.001,36283,0.311326936213026
0.5,5e-04,39998,0.282612713159266
0.5,5e-04,39998,0.353804563473818
0.5,5e-04,39898,0.334337137495993
0.5,5e-04,40000,0.334823388879624
0.5,5e-04,40000,0.312200948748627
0.5,5e-04,39990,0.347693915302322
0.5,5e-04,39993,0.304212083235737
0.5,5e-04,39996,0.331557198529889
0.5,5e-04,39988,0.380382563173745
0.5,5e-04,39995,0.336354318345134
0.6,5e-04,39989,0.372249035975423
0.6,5e-04,39998,0.336835030894274
0.6,5e-04,39999,0.289336652368372
0.6,5e-04,39992,0.352916410932231
0.6,5e-04,39896,0.310302466291987
0.6,5e-04,39999,0.326356108601656
0.6,5e-04,40000,0.32316744458978
0.6,5e-04,39998,0.372088101848954
0.6,5e-04,39995,0.315700053373055
0.6,5e-04,39996,0.339252565874443
0.7,5e-04,40000,0.302344266544824
0.7,5e-04,39995,0.320289872194723
0.7,5e-04,39986,0.315613258321416
0.7,5e-04,39997,0.310064277128913
0.7,5e-04,40000,0.335957786469044
0.7,5e-04,39996,0.332029593041393
0.7,5e-04,40000,0.350253492467325
0.7,5e-04,40000,0.353250767506495
0.7,5e-04,39989,0.319118680253011
0.7,5e-04,39983,0.330347773817
