"bf","lr","best.iter","best.iter.sd","cv.r.squared","cv.r.squared.sd"
0.5,5e-04,39994.4,7.58946638440411,0.674417745246335,0.0218901547563712
0.6,5e-04,39957,57.8196429521241,0.678340905940272,0.0237431007046755
0.7,5e-04,39427.3,1732.32349108871,0.704643240164911,0.0191666829119324
0.5,0.001,38946.7,2584.48946387655,0.681095171891912,0.0249583704593765
0.6,0.001,37165.2,5974.21722999014,0.686588538635177,0.0308126102273289
0.7,0.001,30352.9,7841.91811074023,0.691498365360114,0.0349788957451184
0.5,0.005,10791.4,3191.43566439933,0.673813457909415,0.0470299080573204
0.6,0.005,10769.8,4135.89084317595,0.696455209071674,0.025113305675159
0.7,0.005,8999.6,9521.68640758791,0.701933247249332,0.0264240745021387
0.5,0.01,4785,1548.94408478091,0.678929304005394,0.0381096504717316
0.6,0.01,3897.5,2216.77374428094,0.681138704943095,0.0370359181516853
0.7,0.01,4472,4103.53075614972,0.708631184837007,0.0154069286712185
0.5,0.05,944.2,185.883356496009,0.652910701167444,0.04011566916057
0.6,0.05,4793.2,12276.7376665519,0.677096149021746,0.0388238431155076
0.7,0.05,2335,5001.94606572726,0.692388209447475,0.0187434867714644
0.5,0.1,539,137.579875789384,0.655578101281407,0.0306555830799496
0.6,0.1,1225.1,2621.16485767513,0.645646487312489,0.0266583682094286
0.7,0.1,304.9,94.0229877329062,0.672450551871156,0.0383258612023084
