"var","rel.inf"
"Max_SWE",29.1656327537094
"NO3_N",18.503003051446
"NtoP",13.5988124412645
"TEMP",9.52965258843114
"TDP_P",7.70510893273768
"tmean_month",3.24807378409475
"Difference_SnowFree",2.90588166363728
"DOC",2.74357958747262
"ppt_week",2.25406998240779
"ppt_day",2.21613492580268
"TDN",2.15878260877253
"Ordinal_date",1.79256606053043
"tmean_day",1.68872960501179
"ppt_percent_normal",1.31364592937117
"tmean_percent_normal",0.860905047459701
"site_type_num",0.315421037850597
"SWE_pernorm",0
