"bf","lr","best.iter","cv.r.squared"
0.5,0.1,418,0.510084170620811
0.5,0.1,204,0.507269355877198
0.5,0.1,81,0.540028083182476
0.5,0.1,135,0.550955360084789
0.5,0.1,271,0.476795650621633
0.5,0.1,196,0.54273418768332
0.5,0.1,177,0.526050410372155
0.5,0.1,118,0.56479791015654
0.5,0.1,223,0.591426170039993
0.5,0.1,126,0.567938118291877
0.6,0.1,85,0.579213878399482
0.6,0.1,171,0.591332876246844
0.6,0.1,278,0.571106751646582
0.6,0.1,103,0.601097119210178
0.6,0.1,390,0.608840899847856
0.6,0.1,104,0.592251021373805
0.6,0.1,968,0.572346551248095
0.6,0.1,220,0.602851936279947
0.6,0.1,127,0.595515009022143
0.6,0.1,178,0.579794341006885
0.7,0.1,87,0.573945428654383
0.7,0.1,61,0.566119464470399
0.7,0.1,95,0.572215912302654
0.7,0.1,81,0.619510273571704
0.7,0.1,259,0.584886158609672
0.7,0.1,142,0.582593350685314
0.7,0.1,169,0.585690660074081
0.7,0.1,58,0.516721280084683
0.7,0.1,113,0.648207010960697
0.7,0.1,290,0.591802988403777
0.5,0.05,559,0.556049613313422
0.5,0.05,242,0.528496104783035
0.5,0.05,570,0.614921236346877
0.5,0.05,316,0.536319278829104
0.5,0.05,283,0.538828975428423
0.5,0.05,301,0.570485353489028
0.5,0.05,296,0.588568379868866
0.5,0.05,187,0.588785101190974
0.5,0.05,494,0.606035989420877
0.5,0.05,137,0.548746138866951
0.6,0.05,275,0.551639943391401
0.6,0.05,227,0.599503636171412
0.6,0.05,295,0.616769470249543
0.6,0.05,254,0.58926343859503
0.6,0.05,207,0.586453560281291
0.6,0.05,607,0.572169351813199
0.6,0.05,247,0.584552156776429
0.6,0.05,178,0.564872464572718
0.6,0.05,331,0.600436632762716
0.6,0.05,138,0.57689263174898
0.7,0.05,254,0.621815415864858
0.7,0.05,456,0.617098266161293
0.7,0.05,400,0.622352322172436
0.7,0.05,324,0.585010307857179
0.7,0.05,131,0.571978469529479
0.7,0.05,287,0.56959898093591
0.7,0.05,177,0.594499668046282
0.7,0.05,749,0.573622726997623
0.7,0.05,297,0.59409334645516
0.7,0.05,318,0.60856797599028
0.5,0.01,2135,0.585985565607593
0.5,0.01,1251,0.571638320440693
0.5,0.01,1035,0.577556695217206
0.5,0.01,10739,0.590964640208502
0.5,0.01,2177,0.591741397736449
0.5,0.01,1177,0.604160650365795
0.5,0.01,848,0.558781771812252
0.5,0.01,3244,0.5459934482888
0.5,0.01,2006,0.603813882179273
0.5,0.01,925,0.566997070026605
0.6,0.01,992,0.585602295885102
0.6,0.01,737,0.573251455494643
0.6,0.01,1054,0.566253885962264
0.6,0.01,6044,0.632843525210063
0.6,0.01,1782,0.577887345158665
0.6,0.01,2365,0.624219609271402
0.6,0.01,972,0.574431309524661
0.6,0.01,7873,0.628810668683298
0.6,0.01,1240,0.605865057857189
0.6,0.01,33342,0.596799074834061
0.7,0.01,1614,0.626753712386954
0.7,0.01,1860,0.631603099384474
0.7,0.01,1083,0.621183951147156
0.7,0.01,6746,0.596170828751467
0.7,0.01,1326,0.591700567962555
0.7,0.01,1054,0.591292481310394
0.7,0.01,2650,0.599807396056807
0.7,0.01,1935,0.61850234924258
0.7,0.01,3504,0.590074699813694
0.7,0.01,2791,0.642548984560415
0.5,0.005,7303,0.589578220744497
0.5,0.005,2417,0.580508372968822
0.5,0.005,2913,0.61903133484755
0.5,0.005,2460,0.586915666747906
0.5,0.005,4276,0.546789150470407
0.5,0.005,2676,0.581011958763061
0.5,0.005,2530,0.543136873928077
0.5,0.005,3657,0.569166332460178
0.5,0.005,3228,0.554325693423381
0.5,0.005,4491,0.564821374307348
0.6,0.005,3981,0.607937615927075
0.6,0.005,1305,0.585227119976932
0.6,0.005,3053,0.614307327875137
0.6,0.005,3348,0.591662983220336
0.6,0.005,10568,0.631433133112058
0.6,0.005,3377,0.657544318677979
0.6,0.005,7690,0.619001721010224
0.6,0.005,3464,0.582643262533733
0.6,0.005,2942,0.635279766806971
0.6,0.005,2158,0.592694711359065
0.7,0.005,4007,0.630240324353916
0.7,0.005,2539,0.615015207634007
0.7,0.005,2471,0.62102962564374
0.7,0.005,1669,0.602323142801964
0.7,0.005,11758,0.563577790906514
0.7,0.005,7857,0.617794715960109
0.7,0.005,2750,0.634692741147808
0.7,0.005,6748,0.589050478406709
0.7,0.005,1280,0.559114053859581
0.7,0.005,3459,0.650046885666664
0.5,0.001,13002,0.60322568942019
0.5,0.001,13278,0.554193430203588
0.5,0.001,39631,0.570508782601793
0.5,0.001,23090,0.578375750692305
0.5,0.001,17859,0.548923299341562
0.5,0.001,14671,0.576158451109755
0.5,0.001,13528,0.584391887169778
0.5,0.001,22464,0.595908973886042
0.5,0.001,13209,0.549506868472093
0.5,0.001,12990,0.613133440801714
0.6,0.001,10898,0.572896687775742
0.6,0.001,13267,0.569366443603494
0.6,0.001,28364,0.660161470332812
0.6,0.001,7416,0.57933920266149
0.6,0.001,9912,0.574226167448994
0.6,0.001,16203,0.594717295854734
0.6,0.001,10078,0.588343375233787
0.6,0.001,22676,0.624257326809852
0.6,0.001,9746,0.581101397688251
0.6,0.001,35914,0.61920332282616
0.7,0.001,37532,0.642261176505876
0.7,0.001,15473,0.632177034351119
0.7,0.001,19956,0.643111873524032
0.7,0.001,21314,0.57550855293671
0.7,0.001,10030,0.627376750812907
0.7,0.001,10383,0.621636906511498
0.7,0.001,35198,0.618673718555096
0.7,0.001,8983,0.632939070089834
0.7,0.001,39731,0.615950027449676
0.7,0.001,13470,0.618240834360963
0.5,5e-04,29855,0.559764622759797
0.5,5e-04,20392,0.578838156499565
0.5,5e-04,28902,0.570175783148824
0.5,5e-04,39920,0.524636785991466
0.5,5e-04,27251,0.577521514731564
0.5,5e-04,39995,0.580097277341175
0.5,5e-04,28086,0.587465438869326
0.5,5e-04,25808,0.582814729991009
0.5,5e-04,37161,0.626681893896204
0.5,5e-04,18210,0.529358889751705
0.6,5e-04,38843,0.638218431363398
0.6,5e-04,25951,0.571598882476202
0.6,5e-04,18918,0.575880857466373
0.6,5e-04,39594,0.624056947420007
0.6,5e-04,37002,0.623561482871329
0.6,5e-04,37698,0.603947986743897
0.6,5e-04,21241,0.607097210600632
0.6,5e-04,39614,0.573648150765853
0.6,5e-04,38665,0.596724252835318
0.6,5e-04,22176,0.593094866734371
0.7,5e-04,39772,0.64804806095898
0.7,5e-04,24894,0.654048022490507
0.7,5e-04,23153,0.587941352582366
0.7,5e-04,38595,0.641098313365801
0.7,5e-04,20126,0.629598954153851
0.7,5e-04,40000,0.628364984759757
0.7,5e-04,23433,0.639752329187013
0.7,5e-04,39315,0.677918341826366
0.7,5e-04,19820,0.592364537846755
0.7,5e-04,18701,0.591045808699766
