"bf","lr","best.iter","cv.r.squared"
0.5,0.1,123,0.580607211033117
0.5,0.1,81,0.473743563814638
0.5,0.1,478,0.557545155017719
0.5,0.1,171,0.550512457208451
0.5,0.1,120,0.567659038134052
0.5,0.1,90,0.538186954359127
0.5,0.1,131,0.565209143685506
0.5,0.1,252,0.566295216097969
0.5,0.1,67,0.518571993587496
0.5,0.1,119,0.540190274732257
0.6,0.1,106,0.502534780049662
0.6,0.1,100,0.532677118045718
0.6,0.1,120,0.572617725358401
0.6,0.1,105,0.595668544380501
0.6,0.1,279,0.518191795904522
0.6,0.1,185,0.541508942774987
0.6,0.1,125,0.522372770761134
0.6,0.1,409,0.604673081804365
0.6,0.1,153,0.515709116606439
0.6,0.1,135,0.564169543628418
0.7,0.1,112,0.61038817184097
0.7,0.1,210,0.59206102574976
0.7,0.1,69,0.562597666155472
0.7,0.1,224,0.56331225349853
0.7,0.1,101,0.594331706128261
0.7,0.1,79,0.560413020098077
0.7,0.1,131,0.571575110160659
0.7,0.1,104,0.597994941855201
0.7,0.1,77,0.587118909101969
0.7,0.1,86,0.516752289917847
0.5,0.05,234,0.576351050052005
0.5,0.05,310,0.558035709110535
0.5,0.05,171,0.563330850778922
0.5,0.05,211,0.564576832781828
0.5,0.05,183,0.558686799988289
0.5,0.05,160,0.569881851661803
0.5,0.05,148,0.538001885744269
0.5,0.05,120,0.556486049109846
0.5,0.05,385,0.565765842306373
0.5,0.05,274,0.553419724690717
0.6,0.05,299,0.584418971724883
0.6,0.05,141,0.655859817877444
0.6,0.05,244,0.575082599299987
0.6,0.05,159,0.59181982958578
0.6,0.05,345,0.599167512747041
0.6,0.05,112,0.570805790462057
0.6,0.05,277,0.627443421794593
0.6,0.05,173,0.552063333021029
0.6,0.05,122,0.603501397573306
0.6,0.05,277,0.570793158557046
0.7,0.05,167,0.572584763642865
0.7,0.05,337,0.582948644360147
0.7,0.05,424,0.598535895012207
0.7,0.05,172,0.580051787041405
0.7,0.05,387,0.604181315267711
0.7,0.05,367,0.663486512625512
0.7,0.05,174,0.615990555785813
0.7,0.05,237,0.605115225164628
0.7,0.05,291,0.607887870651565
0.7,0.05,184,0.561283598525503
0.5,0.01,1562,0.610379167027108
0.5,0.01,2431,0.58876013355829
0.5,0.01,1795,0.604974724783061
0.5,0.01,2295,0.580851427976993
0.5,0.01,942,0.567142486130757
0.5,0.01,1087,0.55217851929369
0.5,0.01,1335,0.599234800066132
0.5,0.01,3229,0.571075991259501
0.5,0.01,1050,0.595143307857644
0.5,0.01,3128,0.605148954732852
0.6,0.01,979,0.598297561621545
0.6,0.01,2010,0.596280080870408
0.6,0.01,1702,0.629618049887355
0.6,0.01,2008,0.631085036046946
0.6,0.01,1120,0.618783495870765
0.6,0.01,1400,0.60249040309599
0.6,0.01,727,0.57302238095414
0.6,0.01,874,0.593773388554334
0.6,0.01,1110,0.581139936648652
0.6,0.01,1234,0.623855750432925
0.7,0.01,1188,0.581425814331565
0.7,0.01,1102,0.615353367030053
0.7,0.01,2092,0.592621331316791
